d,m,trial,t_enkf,t_gp
200,40,0,0.000413290923461318,0.0059385839849710464
200,40,1,7.19169620424509e-05,0.0006526671350002289
200,40,2,7.612491026520729e-05,0.0006242918316274881
200,40,3,0.00010175001807510853,0.0007458329200744629
200,40,4,8.433288894593716e-05,0.0006505420897156
400,80,0,0.0012440839782357216,0.0029007920529693365
400,80,1,0.0006189590785652399,0.0015199577901512384
400,80,2,0.0004825000651180744,0.0010575000196695328
400,80,3,0.00033558299764990807,0.0010389168746769428
400,80,4,0.0002524170558899641,0.0009072921238839626
600,120,0,0.0009020830038934946,0.0016830419190227985
600,120,1,0.0007487498223781586,0.001537832897156477
600,120,2,0.0006725839339196682,0.0020727920345962048
600,120,3,0.0005615830887109041,0.0017408749554306269
600,120,4,0.0006894590333104134,0.0016017919406294823
800,160,0,0.0011900418903678656,0.0019852081313729286
800,160,1,0.0010154580231755972,0.0021083750762045383
800,160,2,0.0010765420738607645,0.002799290930852294
800,160,3,0.000857542036101222,0.0020280410535633564
800,160,4,0.0008039579261094332,0.0020201660227030516
